Index	Direction	Time Mark	Status	Alias	Frame ID	Format	Type	DLC	Data	
59	Receive	15:53:33.065			0x00000361	Data Frame	Standard Frame	0x07	02 1F 00 00 12 80 00 	
60	Receive	15:53:33.065			0x00000460	Data Frame	Standard Frame	0x05	4B 03 80 70 88 	
61	Receive	15:53:33.065			0x000000C1	Data Frame	Standard Frame	0x08	10 00 00 00 10 00 00 00 	
62	Receive	15:53:33.065			0x000000C5	Data Frame	Standard Frame	0x08	10 00 00 00 10 00 00 00 	
63	Receive	15:53:33.069			0x000000C9	Data Frame	Standard Frame	0x07	84 0E 4F 0D 00 00 08 	
64	Receive	15:53:33.069			0x000001BC	Data Frame	Standard Frame	0x07	08 00 00 00 00 00 00 	
65	Receive	15:53:33.069			0x000001C1	Data Frame	Standard Frame	0x04	03 12 03 12 	
66	Receive	15:53:33.069			0x000001F5	Data Frame	Standard Frame	0x06	ED 00 00 0F 18 00 	
67	Receive	15:53:33.069			0x000002C5	Data Frame	Standard Frame	0x06	04 6C 02 C0 02 C0 	
68	Receive	15:53:33.069			0x000003D1	Data Frame	Standard Frame	0x08	00 27 80 00 00 38 00 00 	
69	Receive	15:53:33.069			0x000003E9	Data Frame	Standard Frame	0x08	00 00 80 00 00 00 80 00 	
70	Receive	15:53:33.075			0x000000F1	Data Frame	Standard Frame	0x04	9C 00 00 40 	
71	Receive	15:53:33.075			0x000001E1	Data Frame	Standard Frame	0x03	00 FF 01 	
72	Receive	15:53:33.075			0x000000C1	Data Frame	Standard Frame	0x08	20 00 00 00 20 00 00 00 	
73	Receive	15:53:33.079			0x000000C5	Data Frame	Standard Frame	0x08	20 00 00 00 20 00 00 00 	
74	Receive	15:53:33.079			0x000001E9	Data Frame	Standard Frame	0x08	10 00 00 08 00 00 44 00 	
75	Receive	15:53:33.079			0x000001C9	Data Frame	Standard Frame	0x07	03 20 7C DF 00 00 00 	
76	Receive	15:53:33.079			0x00000363	Data Frame	Standard Frame	0x04	00 00 00 00 	
77	Receive	15:53:33.079			0x000002F9	Data Frame	Standard Frame	0x05	00 00 00 00 00 	
78	Receive	15:53:33.079			0x000000C9	Data Frame	Standard Frame	0x07	84 0E 4A 00 00 00 08 	
79	Receive	15:53:33.079			0x000001BC	Data Frame	Standard Frame	0x07	08 00 00 00 00 00 00 	
80	Receive	15:53:33.084			0x000000F1	Data Frame	Standard Frame	0x04	A8 00 00 40 	
81	Receive	15:53:33.088			0x000000C1	Data Frame	Standard Frame	0x08	30 00 00 00 30 00 00 00 	
82	Receive	15:53:33.088			0x000000C5	Data Frame	Standard Frame	0x08	30 00 00 00 30 00 00 00 	
83	Receive	15:53:33.093			0x000000C9	Data Frame	Standard Frame	0x07	84 0E 44 07 00 00 08 	
84	Receive	15:53:33.093			0x000001BC	Data Frame	Standard Frame	0x07	08 00 00 00 00 00 00 	
85	Receive	15:53:33.093			0x000001C1	Data Frame	Standard Frame	0x04	03 13 03 12 	
86	Receive	15:53:33.093			0x000001F5	Data Frame	Standard Frame	0x06	ED 00 00 0F 18 00 	
87	Receive	15:53:33.093			0x000000F1	Data Frame	Standard Frame	0x04	B4 00 00 40 	
88	Receive	15:53:33.098			0x000000C1	Data Frame	Standard Frame	0x08	00 00 00 00 00 00 00 00 	
89	Receive	15:53:33.098			0x000000C5	Data Frame	Standard Frame	0x08	00 00 00 00 00 00 00 00 	
90	Receive	15:53:33.098			0x000001E9	Data Frame	Standard Frame	0x08	10 00 00 08 00 00 44 00 	
91	Receive	15:53:33.098			0x000001C9	Data Frame	Standard Frame	0x07	03 20 BC DE 00 00 00 	
92	Receive	15:53:33.106			0x000000F1	Data Frame	Standard Frame	0x04	80 00 00 40 	
93	Receive	15:53:33.106			0x000000C9	Data Frame	Standard Frame	0x07	84 0E 4D 0A 00 00 08 	
94	Receive	15:53:33.106			0x000001BC	Data Frame	Standard Frame	0x07	08 00 00 00 00 00 00 	
95	Receive	15:53:33.106			0x000001E1	Data Frame	Standard Frame	0x03	00 FE 02 	
96	Receive	15:53:33.106			0x000000C1	Data Frame	Standard Frame	0x08	10 00 00 00 10 00 00 00 	
97	Receive	15:53:33.106			0x000000C5	Data Frame	Standard Frame	0x08	10 00 00 00 10 00 00 00 	
98	Receive	15:53:33.114			0x000000F1	Data Frame	Standard Frame	0x04	9C 00 00 40 	
99	Receive	15:53:33.118			0x000000C1	Data Frame	Standard Frame	0x08	20 00 00 00 20 00 00 00 	
